reference_block,title_guess
"Gredelj, A.; Nicoletto, C.; Polesello, S.; Ferrario, C.; Valsecchi, S.; Lava, R.; Barausse, A.; Zanon, F.; Palmeri, L.; Guidolin, L.; Bonato, M. Uptake and Translocation of Perfluoroalkyl Acids (PFAAs) in Hydroponically Grown Red Chicory (Cichorium Intybus L.): Growth and Developmental Toxicity, Comparison with Growth in Soil and Bioavailability Implications. Science of The Total Environment 2020, 720, No. 137333.",", 720, No"
"Hubert, M.; Arp, H. P. H.; Hansen, M. C.; Castro, G.; Meyn, T.; Asimakopoulos, A. G.; Hale, S. E. Influence of Grain Size, Organic Carbon and Organic Matter Residue Content on the Sorption of perand Polyfluoroalkyl Substances in Aqueous Film Forming Foam Contaminated Soils - Implications for Remediation Using Soil Washing. Science of The Total Environment 2023, 875, No. 162668.",", 875, No"
"Nguyen, T. M. H.; Bräunig, J.; Thompson, K.; Thompson, J.; Kabiri, S.; Navarro, D. A.; Kookana, R. S.; Grimison, C.; Barnes, C. M.; Higgins, C. P.; Mclaughlin, M. J.; Mueller, J. F. Influences of Chemical Properties, Soil Properties, and Solution PH on Soil-Water Partitioning Coefficients of Per- And Polyfluoroalkyl Substances (PFASs). Environ. Sci. Technol. 2020, 54 (24), 15883−15892.",", 54 (24), 15883−15892"
"McLachlan, M. S.; Felizeter, S.; Klein, M.; Kotthoff, M.; De Voogt, P. Fate of a Perfluoroalkyl Acid Mixture in an Agricultural Soil Studied in Lysimeters. Chemosphere 2019, 223, 180−187.",", 223, 180−187"
"Gredelj, A.; Nicoletto, C.; Valsecchi, S.; Ferrario, C.; Polesello, S.; Lava, R.; Zanon, F.; Barausse, A.; Palmeri, L.; Guidolin, L.; Bonato, M. Uptake and Translocation of Perfluoroalkyl Acids (PFAA) in Red Chicory (Cichorium Intybus L.) under Various Treatments with PreContaminated Soil and Irrigation Water. Science of The Total Environment 2020, 708, No. 134766.",", 708, No"
"Xu, B.; Alizray, R.; Lammel, D. R.; Riedel, S.; Rillig, M. C. Concentration-Dependent Response of Soil Parameters and Functions to Trifluoroacetic Acid. Eur. J. Soil Sci. 2022, 73 (4), No. e13266. 19934 https://doi.org/",", 73 (4), No"
"Bott, T. L.; Standley, L. J. Incorporation of Trifluoroacetate, a Hydrofluorocarbon Decomposition Byproduct, by Freshwater Benthic Microbial Communities. Water Res. 1999, 33 (6), 1538− 1544.",", 33 (6), 1538− 1544"
"Lu, Y.; Liu, L.; Ning, A.; Yang, G.; Liu, Y.; Kurtén, T.; Vehkamäki, H.; Zhang, X.; Wang, L. Atmospheric Sulfuric AcidDimethylamine Nucleation Enhanced by Trifluoroacetic Acid. Geophys. Res. Lett. 2020, 47 (2), No. e2019GL085627.",", 47 (2), No"
"Liu, L.; Yu, F.; Tu, K.; Yang, Z.; Zhang, X. Influence of Atmospheric Conditions on the Role of Trifluoroacetic Acid in Atmospheric Sulfuric Acid-Dimethylamine Nucleation. Atmos Chem. Phys. 2021, 21 (8), 6221−6230.",", 21 (8), 6221−6230"
"Rockström, J.; Steffen, W.; Noone, K.; Persson, Å.; Chapin, F. S.; Lambin, E. F.; Lenton, T. M.; Scheffer, M.; Folke, C.; Schellnhuber, H. J.; Nykvist, B.; de Wit, C. A.; Hughes, T.; van der Leeuw, S.; Rodhe, H.; Sörlin, S.; Snyder, P. K.; Costanza, R.; Svedin, U.; Falkenmark, M.; Karlberg, L.; Corell, R. W.; Fabry, V. J.; Hansen, J.; Walker, B.; Liverman, D.; Richardson, K.; Crutzen, P.; Foley, J. A. A Safe Operating Space for Humanity. Nature 2009, 461 (7263), 472−475.",", 461 (7263), 472−475"
"Steffen, W.; Richardson, K.; Rockström, J.; Cornell, S. E.; Fetzer, I.; Bennett, E. M.; Biggs, R.; Carpenter, S. R.; De Vries, W.; De Wit, C. A.; Folke, C.; Gerten, D.; Heinke, J.; Mace, G. M.; Persson, L. M.; Ramanathan, V.; Reyers, B.; Sörlin, S. Planetary Boundaries: Guiding Human Development on a Changing Planet. Science (1979) 2015, 347 (6223), No. 1259855.",") 2015, 347 (6223), No"
"Caldeira, C.; Farcal, R.; Garmendia Aguirre, I.; Mancini, L.; Tosches, D.; Amelio, A.; Rasmussen, K.; Rauscher, H.; Riego Sintes, J.; Sala, S. Safe and Sustainable by Design Chemicals and Materials Framework for the Definition of Criteria and Evaluation Procedure for Chemicals and Materials; Publications Office of the European Union, 2022; pp 1−124. DOI: 10.2760/487955.",pp 1−124
"Roy, M. A.; Cousins, I.; Harriman, E.; Scheringer, M.; Tickner, J. A.; Wang, Z. Combined Application of the Essential-Use and Functional Substitution Concepts: Accelerating Safer Alternatives. Environ. Sci. Technol. 2022, 56 (14), 9842−9846.",", 56 (14), 9842−9846"
"Chirsir, P.; Palm, E. H.; Baskaran, S.; Schymanski, E. L.; Wang, Z.; Wolf, R.; Hale, S. E.; Arp, H. P. H. Grouping Strategies for Assessing and Managing Persistent and Mobile Substances. Environ. Sci. Eur. 2024, 36 (1), 102. 19935 https://doi.org/",", 36 (1), 102"
EU Reference Laboratories for Residues of Pesticides. EURL-SRM-Residue Findings Report; 2017. https://www.eurl-pesticides.eu/userfiles/file/eurlsrm/eurlsrm_residueobservation_tfa-dfa.pdf (accessed 2023-12-08).,https://www.eurl-pesticides.eu/userfiles/file/eurlsrm/eurlsrm_residueobservation_tfa-dfa.pdf (accessed 2023-12-08)
"Zhang, B.; Zhai, Z.; Zhang, J. Distribution of Trifluoroacetic Acid in Gas and Particulate Phases in Beijing from 2013 to 2016. Science of the Total Environment 2018, 634, 471– 477. https://doi.org/10.1016/j.scitotenv.2018.03.384.","Science of the Total Environment 2018, 634, 471– 477"
"Fang, X.; Wang, Q.; Zhao, Z.; Tang, J.; Tian, C.; Yao, Y.; Yu, J.; Sun, H. Distribution and Dry Deposition of Alternative and Legacy Perfluoroalkyl and Polyfluoroalkyl Substances in the Air above the Bohai and Yellow Seas, China. Atmos Environ 2018, 192, 128–135. https://doi.org/10.1016/j.atmosenv.2018.08.052. S7",", 192, 128–135"
